event,low_date,horizon,1x,1.5x,2x,3x
GFC bottom (2009),2009-03-09,6mo,0.5198895989640773,0.8468316116122352,1.2229550112327128,2.1318240226978515
GFC bottom (2009),2009-03-09,1yr,0.7228593551712648,1.218215699576589,1.8200232666538487,3.389421994790742
GFC bottom (2009),2009-03-09,3yr,1.1295019445814298,1.9534852419730964,2.959738985097428,5.426805784021226
COVID bottom (2020),2020-03-23,6mo,0.48000440358043694,0.7701577343303248,1.0938670520732807,1.835367183959753
COVID bottom (2020),2020-03-23,1yr,0.7780085707040247,1.3187870450124586,1.9803451809798247,3.7153745641389717
COVID bottom (2020),2020-03-23,3yr,0.8523676098667672,1.3961233030466094,1.9967035208985604,3.2367171931907235
2022 bear bottom,2022-10-12,6mo,0.16714012363992614,0.2515871245423764,0.3356038750034578,0.4990494726972907
2022 bear bottom,2022-10-12,1yr,0.23049321560639346,0.3514710702346655,0.47464756868218294,0.7218109507886457
2022 bear bottom,2022-10-12,3yr,0.947628844992106,1.6403683274082117,2.511397543464854,4.863333330300744
2025 tariff selloff,2025-04-08,6mo,0.36416578299362157,0.5831158387510003,0.8297565039075692,1.4159554823033584
2025 tariff selloff,2025-04-08,1yr,0.38550488570371133,0.6145495219037078,0.8693038199948409,1.458752059065799
