window,start,strategy,grew_1dollar_to,cagr,sharpe,max_drawdown
from 22 Aug 2000 (~26 years),2000-08-22,Buy & Hold 1x,7.96524927072054,0.08396240947782263,0.4237720998975581,-0.5525024106969594
from 22 Aug 2000 (~26 years),2000-08-22,MA200 -> Cash,7.244305724564188,0.0799741999337138,0.5895170163858015,-0.2055051289703138
from 22 Aug 2000 (~26 years),2000-08-22,Lev 1.5x above MA,11.521293103510615,0.0996194570149167,0.4525989253604661,-0.5897171805682604
from 22 Aug 2000 (~26 years),2000-08-22,Lev 2x above MA,18.5051664287417,0.12005158696108387,0.4886776525222091,-0.6278452970285431
from 22 Aug 2000 (~26 years),2000-08-22,Lev 3x above MA,37.427153642472014,0.15112607459058758,0.5200715408837091,-0.6968048579079487
last 15 years,2011-06-12,Buy & Hold 1x,7.681568119199542,0.1460465923383476,0.7860818151706519,-0.33790463651871727
last 15 years,2011-06-12,MA200 -> Cash,4.682571334724126,0.10873923479896885,0.8076985592609615,-0.17963907086034647
last 15 years,2011-06-12,Lev 1.5x above MA,11.548602069630466,0.17771994644555078,0.7918036191886,-0.4006641201677553
last 15 years,2011-06-12,Lev 2x above MA,18.589710496842784,0.21580839311939148,0.8089615285292687,-0.4582027563350908
last 15 years,2011-06-12,Lev 3x above MA,41.07266524019057,0.2819885340569761,0.8119642667110124,-0.5596151193933872
