period,strategy,n_days,total_return,cagr,volatility,sharpe,max_drawdown,calmar,deepest_dd_recovery_days
1929 crash,Buy & Hold (price),856,-0.7603878020296229,-0.34335284630787677,0.43718043070624885,-0.7435180579890925,-0.8618957937515598,-0.3983693258478156,
1929 crash,MA200 → Cash (price),856,-0.3788572987639296,-0.1308052582045982,0.1899085743667487,-0.6427160897334666,-0.4629921764269803,-0.282521530307603,
1929 crash,Lev 2x below MA (price),856,-0.9454868592541172,-0.5753458219947245,0.8103732847814656,-0.6516080962338673,-0.9851908937493842,-0.5839942549662692,
1929 crash,Lev 3x below MA (price),856,-0.9927899375761935,-0.7659043927642795,1.1969960992847948,-0.610728842205688,-0.9990325261420633,-0.7666461028270537,
1970s inflation bear,Buy & Hold (price),505,-0.4192291758896918,-0.23750666116246633,0.1905290222963902,-1.3275777613440227,-0.4820359290935836,-0.492715681192213,
1970s inflation bear,MA200 → Cash (price),505,-0.10478576147661911,-0.0537386807626451,0.0396598158065235,-1.3727541283924678,-0.12109077289408798,-0.4437884033463691,
1970s inflation bear,Lev 2x below MA (price),505,-0.6485990336834329,-0.40659503494894733,0.37504454270149323,-1.203699716975316,-0.7105022030124758,-0.5722642846496675,
1970s inflation bear,Lev 3x below MA (price),505,-0.8016985332755148,-0.5539755358545302,0.5609315493076396,-1.158679571004279,-0.8465870890520749,-0.6543633171571487,
1987 crash,Buy & Hold (price),232,-0.14171845585615106,-0.15295164640232406,0.3464425029035686,-0.29578871279573277,-0.3350951525557262,-0.45644243205484225,
1987 crash,MA200 → Cash (price),232,-0.06439478769623741,-0.0697479876133198,0.0978501131805525,-0.6899360367201587,-0.12946771848474325,-0.5387287922397354,
1987 crash,Lev 2x below MA (price),232,-0.30766624818831667,-0.3292671151987252,0.6718655565638529,-0.20456063472824532,-0.5493483155460427,-0.5993776732917427,
1987 crash,Lev 3x below MA (price),232,-0.5380571340509526,-0.5678112482439914,1.0018569755637512,-0.17208115691055173,-0.7405757427448743,-0.7667159690370798,
Dot-com crash,Buy & Hold (price),712,-0.3561130698991475,-0.14428037718414022,0.2337237766133908,-0.5499866229578295,-0.4914694789846552,-0.293569353446351,
Dot-com crash,MA200 → Cash (price),712,-0.14643346230942267,-0.054497528075026835,0.09149062279667716,-0.5666668656311679,-0.21149853863765433,-0.25767330793899074,
Dot-com crash,Lev 2x below MA (price),712,-0.5735162013058079,-0.2603769304276202,0.4398395397034119,-0.4666365304325761,-0.7351051612947607,-0.35420364886162853,
Dot-com crash,Lev 3x below MA (price),712,-0.7519623098381474,-0.3894797446844852,0.6518179077441589,-0.4325524652732286,-0.877796755749107,-0.4437015085025067,
Global Financial Crisis,Buy & Hold (price),441,-0.3978581907160861,-0.251634789014725,0.3688472095083308,-0.6013806749905233,-0.5677538774277295,-0.4432110444666335,
Global Financial Crisis,MA200 → Cash (price),441,-0.09455434391073825,-0.055178131216575776,0.06541210265026466,-0.8346794720406759,-0.13442739174857055,-0.4104679150494826,
Global Financial Crisis,Lev 2x below MA (price),441,-0.6827044228432699,-0.4810538476994871,0.7290418878700554,-0.5336278131787271,-0.8332402309433168,-0.5773291181042505,
Global Financial Crisis,Lev 3x below MA (price),441,-0.8684662828398761,-0.6862435772086627,1.0911645953266103,-0.5097823694422433,-0.9481992851167956,-0.7237334893414666,
COVID crash,Buy & Hold (price),104,-0.038824741347272984,-0.09149078592918214,0.503248462844493,0.06097457198644249,-0.3392496000265328,-0.2696857591638328,
COVID crash,MA200 → Cash (price),104,-0.13864753154523968,-0.30347238241968166,0.1804187569386114,-1.911931366909572,-0.19195958816599867,-1.5809180740544795,
COVID crash,Lev 2x below MA (price),104,-0.023147858038994773,-0.055168246866457826,0.9556707469547638,0.4251663045186358,-0.5031173616953308,-0.10965283861514934,
COVID crash,Lev 3x below MA (price),104,-0.10264931904545571,-0.2308274367684433,1.4186943333729316,0.5511776720463666,-0.6745843211846919,-0.34217729277055925,
2022 rate-hike bear,Buy & Hold (price),251,-0.1944282720342928,-0.19512186590373715,0.24173530340565583,-0.7770950691845488,-0.2542509661923039,-0.7674380507807227,
2022 rate-hike bear,MA200 → Cash (price),251,-0.15330449277264946,-0.15386566970289595,0.0713242167563299,-2.3059053168716654,-0.15866719228505344,-0.9697384033018539,
2022 rate-hike bear,Lev 2x below MA (price),251,-0.27323102878282046,-0.2741545286829047,0.46748656364074515,-0.45185412894761745,-0.40272273815040494,-0.6807525443982161,
2022 rate-hike bear,Lev 3x below MA (price),251,-0.37853994440532013,-0.37971659156755977,0.6967139547274245,-0.3367524851495648,-0.5540421163119849,-0.6853569076935278,
