period,Buy & Hold_total_return,Lev 2x below MA200_total_return,difference,leverage_helped
Full sample,63.65815173514095,53.49382841507657,-10.164323320064376,False
1950 onward,63.65815173514095,53.49382841507657,-10.164323320064376,False
1970 onward,63.65815173514095,53.49382841507657,-10.164323320064376,False
1980 onward,63.65815173514095,53.49382841507657,-10.164323320064376,False
1990 onward,42.630318486851344,39.70986718833715,-2.9204512985141946,False
2000 onward,7.189264419185713,5.016652803567065,-2.1726116156186484,False
2010 onward,8.00885948129254,12.717059765360485,4.708200284067946,True
Post-GFC (2009+),10.043657480595867,15.815281668459228,5.771624187863361,True
Post-COVID (2020-04+),2.1416113799588308,2.820620316312124,0.6790089363532932,True
